CUSTOMERPAYMENT_ID,CUSTOMERPAYMENT_CUSTOMER,CUSTOMERPAYMENT_DATE,CUSTOMERPAYMENT_VALOR,CUSTOMERPAYMENT_OURPARTYIBAN,CUSTOMERPAYMENT_COUNTERPARTYIBAN,CUSTOMERPAYMENT_COUNTERPARTYNAME,CUSTOMERPAYMENT_AMOUNT,CUSTOMERPAYMENT_CURRENCY,CUSTOMERPAYMENT_REASON,CUSTOMERPAYMENT_DESCRIPTION,CUSTOMERPAYMENT_COMPANY,CUSTOMERPAYMENT_NAME,CUSTOMERPAYMENT_PAYMENTMETHOD,CUSTOMERPAYMENT_UUID
1,1,2024-03-31,2024-03-31,DE89370400440532013000,FR1420041010050500013002606,John Doe,100.50,2,Invoice Payment,Payment for services,3,CPAY000001,1,b43f9a12c8e44b9a8f2d1e0c3a5b6d7e
2,2,2024-03-31,2024-03-31,GB2960161331926819,IT600542811101000000123456,Alice Smith,250.75,30,Loan Repayment,Monthly loan installment,7,CPAY000002,2,c9a8b7d6e5f44a3b2c1d0e9f8a7b6c5d
3,3,2024-03-31,2024-03-31,FR7630006000011234567890189,ES9121000418450200051332,Bob Johnson,180.00,2,Refund,Refund for overpayment,5,CPAY000003,3,d1e2f3a4b5c64d5e6f7a8b9c0d1e2f3a
4,4,2024-03-31,2024-03-31,IT600542811101000000123456,DE89370400440532013000,Mary Jane,95.40,30,Service Charge,Monthly subscription,2,CPAY000004,4,e5f6a7b8c9d04e1f2a3b4c5d6e7f8a9b
5,5,2024-03-31,2024-03-31,ES7921000813610123456789,GB2960161331926819,Mark Wilson,300.00,2,Product Purchase,Electronics purchase,6,CPAY000005,1,f0a1b2c3d4e54f6a7b8c9d0e1f2a3b4c
6,6,2024-03-31,2024-03-31,NL910417164300,BE71096123456769,Emma Davis,210.30,30,Consulting Fee,Business consulting payment,4,CPAY000006,2,a9b8c7d6e5f44a3b2c1d0e9f8a7b6c5d
7,7,2024-03-31,2024-03-31,BE71096123456769,NL910417164300,Michael Brown,50.00,2,Subscription,Streaming service,1,CPAY000007,3,b5c6d7e8f9a04b1c2d3e4f5a6b7c8d9e
8,8,2024-03-31,2024-03-31,DE89370400440532013000,FR7630006000011234567890189,Sophia Martinez,125.60,30,Training Fee,Professional training payment,8,CPAY000008,4,c2d3e4f5a6b74c8d9e0f1a2b3c4d5e6f
9,9,2024-03-31,2024-03-31,FR1420041010050500013002606,GB2960161331926819,David Wilson,430.25,2,Medical Bill,Hospital payment,9,CPAY000009,1,d9e8f7a6b5c44d3e2f1a0b9c8d7e6f5a
10,10,2024-03-31,2024-03-31,IT600542811101000000123456,ES7921000813610123456789,Olivia Johnson,145.75,30,Car Lease,Monthly car lease payment,5,CPAY000010,2,e1f2a3b4c5d64e7f8a9b0c1d2e3f4a5b
