CUSTOMER_ID,CUSTOMER_LEGALENTITYNAME,CUSTOMER_NAME,CUSTOMER_ADDRESS,CUSTOMER_POSTALCODE,CUSTOMER_EMAIL,CUSTOMER_PHONE,CUSTOMER_COUNTRY,CUSTOMER_CITY,CUSTOMER_TIN,CUSTOMER_IBAN,CUSTOMER_RESPONSIBLEPERSON,CUSTOMER_IDENTIFIER
1,Gammatech,Gammatech,78285 Digital Pl,64488,gammatech0@yahoo.com,3454831843,34,7,8710994771,ES2231134407621067900001,1,550e8400-e29b-41d4-a716-446655440001
2,Tautron,Tautron,35302 ML Rd,53383,tautron1@gmail.com,3460447144,34,8,8286913209,ES3088128402599659430002,2,550e8400-e29b-41d4-a716-446655440002
3,Iotadynamics,Iotadynamics,97333 Spaceport St,39050,iotadynamics2@gmail.com,3475971822,34,3,1418699819,ES8560232442331952180003,3,550e8400-e29b-41d4-a716-446655440003
4,Upsilonics,Upsilonics,36858 Neural Dr,44195,upsilonics3@example.com,3493811320,34,7,7680370758,ES7967434884637839860004,4,550e8400-e29b-41d4-a716-446655440004
5,Lambdaware,Lambdaware,13183 Quantum Ct,55780,lambdaware4@company.net,3499212298,34,4,5846421250,ES6410659844396429330005,5,550e8400-e29b-41d4-a716-446655440005
6,Gammatech,Gammatech,22263 Tech Lane,87912,gammatech5@startup.io,3429697759,34,5,4480395790,ES4971148337998919560006,6,550e8400-e29b-41d4-a716-446655440006
7,Betamax,Betamax,98541 Virtual Rd,32919,betamax6@tech.com,3411421993,34,2,5429999260,ES1554475764630580800007,7,550e8400-e29b-41d4-a716-446655440007
8,Quantumix,Quantumix,57988 DeepLearning Blvd,27357,quantumix7@startup.io,3425578579,34,4,9820975420,ES7955081906828548770008,8,550e8400-e29b-41d4-a716-446655440008
9,Pitech,Pitech,39024 ML Rd,97727,pitech8@example.com,3446969374,34,10,6094177842,ES5994228346900758120009,9,550e8400-e29b-41d4-a716-446655440009
10,Cyberetix,Cyberetix,64665 Cloud Way,25046,cyberetix9@company.net,3435199857,34,2,1513341741,ES2892058589392613420010,10,550e8400-e29b-41d4-a716-446655440010
11,Phisec,Phisec,94140 Quantum Ave,22815,phisec10@biz.org,3424492230,34,1,2002915725,ES4167724185561028500011,11,550e8400-e29b-41d4-a716-446655440011
12,Etavision,Etavision,87068 Quantum Ct,80898,etavision11@yahoo.com,3476079187,34,9,2993564662,ES3743872720412442640012,12,550e8400-e29b-41d4-a716-446655440012
13,Chitech,Chitech,92495 Blockchain Dr,50578,chitech12@tech.com,3443114486,34,7,9707867967,ES4998434939976595360013,13,550e8400-e29b-41d4-a716-446655440013
14,Epsilonware,Epsilonware,30653 AR Pkwy,52447,epsilonware13@example.com,3422574663,34,7,2144166891,ES4965401677217876780014,14,550e8400-e29b-41d4-a716-446655440014
15,Upsilonics,Upsilonics,65211 Quantum Ave,13691,upsilonics14@example.com,3482188449,34,2,5782233129,ES7418974734508145920015,15,550e8400-e29b-41d4-a716-446655440015
16,Tautron,Tautron,9771 Blockchain Dr,36664,tautron15@tech.com,3497878364,34,9,8803556741,ES2225252942117411440016,16,550e8400-e29b-41d4-a716-446655440016
17,Nusolutions,Nusolutions,4364 Nano Ct,46517,nusolutions16@example.com,3474342948,34,10,2522964959,ES1844251661107333160017,17,550e8400-e29b-41d4-a716-446655440017
18,Etavision,Etavision,47538 AI Dr,27460,etavision17@outlook.com,3422112057,34,6,9626753120,ES7768571496361370460018,18,550e8400-e29b-41d4-a716-446655440018
19,Xitech,Xitech,36478 BigData Ave,82528,xitech18@company.net,3434031376,34,5,7347018795,ES1463233126944042600019,19,550e8400-e29b-41d4-a716-446655440019
20,Zetacorp,Zetacorp,72300 Cybernetics St,5363,zetacorp19@startup.io,3465650212,34,2,8672731812,ES1112335184585574310020,20,550e8400-e29b-41d4-a716-446655440020
21,RhoAI,RhoAI,89548 Quantum Ct,27225,rhoai20@gmail.com,3436319337,34,5,5043073829,ES4180934302616191140021,21,550e8400-e29b-41d4-a716-446655440021
22,Cyberetix,Cyberetix,46589 Simulated Ln,16262,cyberetix21@tech.com,3440387932,34,1,2933169945,ES7514396209959286880022,22,550e8400-e29b-41d4-a716-446655440022
23,Lambdaware,Lambdaware,39280 IoT St,62296,lambdaware22@gmail.com,3496430775,34,8,7582555843,ES8732414383345389810023,23,550e8400-e29b-41d4-a716-446655440023
24,Rhogate,Rhogate,74840 DeepLearning Blvd,94959,rhogate23@yahoo.com,3416910795,34,5,1109195802,ES8690006919405273590024,24,550e8400-e29b-41d4-a716-446655440024
25,Nusolutions,Nusolutions,61746 Crypto Dr,84091,nusolutions24@yahoo.com,3451779233,34,7,2616013072,ES4249856022669556290025,25,550e8400-e29b-41d4-a716-446655440025
26,RhoAI,RhoAI,23431 Tech Lane,86288,rhoai25@yahoo.com,3475652622,34,6,1511564364,ES1825376462514583070026,26,550e8400-e29b-41d4-a716-446655440026
27,Deltanet,Deltanet,58243 Simulated Ln,97927,deltanet26@tech.com,3498053395,34,5,7102228327,ES3855946009553063730027,27,550e8400-e29b-41d4-a716-446655440027
28,Deltanet,Deltanet,19244 Tech Lane,1546,deltanet27@company.net,3459757484,34,3,7757213506,ES3574615174623895620028,28,550e8400-e29b-41d4-a716-446655440028
29,RhoAI,RhoAI,72876 Innovation St,99634,rhoai28@example.com,3473632471,34,4,6539040334,ES7664951155845535760029,29,550e8400-e29b-41d4-a716-446655440029
30,Phisec,Phisec,83932 Bioinformatics Rd,61545,phisec29@gmail.com,3488588312,34,5,8881677680,ES9891845914812383240030,30,550e8400-e29b-41d4-a716-446655440030
