SUPPLIERPAYMENT_ID,SUPPLIERPAYMENT_SUPPLIER,SUPPLIERPAYMENT_DATE,SUPPLIERPAYMENT_VALOR,SUPPLIERPAYMENT_OURPARTYIBAN,SUPPLIERPAYMENT_COUNTERPARTYIBAN,SUPPLIERPAYMENT_COUNTERPARTYNAME,SUPPLIERPAYMENT_AMOUNT,SUPPLIERPAYMENT_CURRENCY,SUPPLIERPAYMENT_REASON,SUPPLIERPAYMENT_DESCRIPTION,SUPPLIERPAYMENT_NAME,SUPPLIERPAYMENT_COMPANY,SUPPLIERPAYMENT_UUID,SUPPLIERPAYMENT_PAYMENTMETHOD
1,5,2024-03-01,2024-03-31,US123456789,GB987654321,Supplier A,1500.50,2,Invoice Payment,Payment for services,SPAY000001,3,550e8400e29b41d4a716446655440000,1
2,3,2024-03-02,2024-03-31,US123456780,GB987654320,Supplier B,2750.75,30,Goods Purchase,Payment for materials,SPAY000002,7,7c9e6679742540de944be07fc1f90ae7,2
3,8,2024-03-03,2024-03-31,US123456781,GB987654319,Supplier C,3200.00,2,Service Fee,Monthly maintenance,SPAY000003,1,af25f38523c743f19481995f5436d403,3
4,1,2024-03-04,2024-03-31,US123456782,GB987654318,Supplier D,4500.25,30,Contract Payment,Annual contract settlement,SPAY000004,4,16fd27068baf433b82eb8c7fada847da,4
5,6,2024-03-05,2024-03-31,US123456783,GB987654317,Supplier E,5300.50,2,Equipment Purchase,New office equipment,SPAY000005,2,430932f97489482898e614c1e4c34a62,1
6,9,2024-03-06,2024-03-31,US123456784,GB987654316,Supplier F,6200.75,30,Software Licensing,Subscription renewal,SPAY000006,5,d7f7e9f380e94e0e86e5397a7a1309f4,2
7,4,2024-03-07,2024-03-31,US123456785,GB987654315,Supplier G,7000.00,2,Utility Payment,Electricity and water bills,SPAY000007,8,6bc0c78af5e64927915b9d7a22a36d75,3
8,7,2024-03-08,2024-03-31,US123456786,GB987654314,Supplier H,8500.25,30,Raw Materials,Procurement for production,SPAY000008,10,36da0f9b648c4467938f9a1c625f206a,4
9,2,2024-03-09,2024-03-31,US123456787,GB987654313,Supplier I,9200.50,2,Logistics,Freight and shipping,SPAY000009,6,e9319e7a9a91443b871d72e7075677d2,1
10,10,2024-03-10,2024-03-31,US123456788,GB987654312,Supplier J,10200.75,30,Consulting Fee,External business consultation,SPAY000010,9,f47ac10b58cc4372a5670e02b2c3d479,2
