SUPPLIER_ID,SUPPLIER_NAME,SUPPLIER_EMAIL,SUPPLIER_PHONE,SUPPLIER_FAX,SUPPLIER_TIN,SUPPLIER_IBAN
1,Meevee,nrushforth0@addthis.com,+75482893937,+75482893938,9647146787,SE2194136910774113122469
2,Zoombox,ayeats1@1688.com,+3533904410278,+3533904410279,4710622787,IE50YHMH71479275231973
3,Jaxbean,garnott2@washington.edu,+589412353027,+589412353028,8336020403,CZ1124754337073130714048
4,Muxo,amapson3@mozilla.com,+559042839307,+559042839308,9250081286,SA8483QRD7YQPELYG8MYV7LA
5,Eamia,btailby4@washington.edu,+3529471672791,+3529471672792,4508740766,BR3565374003059476018187223Y7
6,Rhycero,scolquyte5@t.co,+629243916733,+629243916734,7038815644,CH4418124XMD1VCVL5BBA
7,Babbleset,rcaslett6@wordpress.org,+555977648294,+555977648295,6459660158,KZ20379DBJCM8FDXTWZT
8,Dabtype,bradbone7@bandcamp.com,+462986106438,+462986106439,8492477474,LT063931209607046303
9,Katz,dnazaret8@fotki.com,+3749124896787,+3749124896788,9864207202,CR5595884731219726431
10,Thoughtstorm,jizac9@usda.gov,+273974958237,+273974958238,5402007292,IT45Z5659940950UDAMKY1BAW02
